Автор,Название книги,Тип,Год озвучки,Хроно,Сборник,не трогать!!! Только для редактора,Ссылка на работу в Вконтакте
ДАНИЛОВ ПАВЕЛ,Девушка в бочке,роман,2017,,в озвучке,,Ссылка на работу в вКонтакте
ХИДЭЮКИ КИКУТИ,Девушка-тень,рассказ,2016,1:32:36,Пять вечеров 2: Призраки,51939372,Ссылка на работу в вКонтакте
ШЕКЛИ РОБЕРТ,Девушки и Наджент Миллер,рассказ,2016,0:31:13,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ГАЛЬЦОВ МИХАИЛ,Девятая жизнь,рассказ,2018,0:24:34,Памяти замечательных людей,49928114,Ссылка на работу в вКонтакте
АСТАХОВА ЛЮДМИЛА,Дежурный,рассказ,2009,0:13:28,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
СИМАДА МАСАХИКО,Дельфин в пустыне,рассказ,2013,0:45:59,Причуды жизни,47392029,Ссылка на работу в вКонтакте
КОННОЛЛИ ДЖОН,Демон мистера Петтингера,рассказ,2018,0:32:42,Ночные легенды,54438257,Ссылка на работу в вКонтакте
ХЬЮМАН ДЭМИ,Демон страниц,рассказ,2017,0:21:53,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
РАЙТ КРИС,Демонология,рассказ,2019,0:48:48,WARHAMMER 40000,54712986,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,ДемоНтиваторы,роман,2017,12:13:35,,47401622,Ссылка на работу в вКонтакте
ДЕЛЬКИН АНДРЕЙ,День Святого Валентина,рассказ,2009,0:18:00,Тёмные аллеи №07,47402805,Ссылка на работу в вКонтакте
МЬЕВИЛЬ ЧАЙНА,Детали,рассказ,2014,0:38:37,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
ЦУРКАН ВАЛЕРИЙ,Дети Авеля,рассказ,2010,0:23:51,Тёмные аллеи №13,47402919,Ссылка на работу в вКонтакте
ГЕЙМАН НИЛ,Дети Ананси,роман,2015,11:17:33,,49365754,Ссылка на работу в вКонтакте
ГАМБУРГ ЕВГЕНИЙ,Дети Дегремоны,рассказ,2008,0:18:33,Тёмные аллеи №01,47402705,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Дети кукурузы,рассказ,2009,1:15:52,Ночная смена,47401704,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Детки в клетках,рассказ,2015,0:05:29,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
ЭЛЛИСОН ХАРЛАН,Джеффти пять лет,рассказ,2015,0:54:36,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
ГИБСОН УИЛЬЯМ,Джонни Мнемоник,рассказ,2011,0:56:45,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
ЛАУМЕР КИТ,Динохромный,рассказ,2009,0:49:51,Лаумер Кит - Рассказы,47403535,Ссылка на работу в вКонтакте
АНДРЕЕВА ЮЛИЯ,Диссертация профессора Коула,рассказ,2011,0:22:54,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Дневник обнуления,роман,2019,16:30:16,,53016370,Ссылка на работу в вКонтакте
КОНОНОВА АННА,До Нового года оставалось...,рассказ,2009,0:03:42,Новогодние чудеса на аллеях,47392014,Ссылка на работу в вКонтакте
АКИМОВ МАКСИМ,Добро всегда побеждает,рассказ,2009,0:05:48,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ШЕКЛИ РОБЕРТ,Добро пожаловать: стандартный кошмар,рассказ,2019,0:39:25,ГЛУБИНА погружение 15,54721139,Ссылка на работу в вКонтакте
РЭЙ СОНЯ,Доброе дело,рассказ,2010,0:26:45,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,Догхантер. Радужный мост,повесть,2017,3:54:35,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Доктор Сон,роман,2014,18:09:19,,47397205,Ссылка на работу в вКонтакте
СОНДЕРС ЧАРЛЬЗ,Долг Иеровоама Хенли,рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Долгий джонт,рассказ,2009,1:19:10,Команда скелетов,49866622,Ссылка на работу в вКонтакте
БРАУН ФРЕДЕРИК,Дом,рассказ,2015,0:08:51,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
МИХАЙЛОВ ВАЛЕРИЙ,Дом,рассказ,2009,0:12:20,Тёмные аллеи №07,47402805,Ссылка на работу в вКонтакте
АНДЕРСОН АЛЕКСАНДР,Дом монстров,рассказ,2012,0:54:49,Тёмные аллеи №21,47403076,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Дом на повороте,рассказ,2014,0:43:27,,47397809,Ссылка на работу в вКонтакте
КИРНАН КЕЙТЛИН,Дома поглощены волнами моря,рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
ЖОЗЕФИНА ФЕЯ,Домовёнок и звёзды,рассказ,2009,0:10:20,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
СИЛВЕРБЕРГ РОБЕРТ,Дорога на закат,рассказ,2016,0:55:23,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
РИД РОБЕРТ,Драконы из Лётного Ущелья,рассказ,2017,нет ещё,Созвездие Льва 3. Приход ночи (часть 2),49963352,Ссылка на работу в вКонтакте
ШАМАНОВ СЕРГЕЙ,Друид,рассказ,2012,0:24:29,Новогодние чудеса на аллеях,47392014,Ссылка на работу в вКонтакте
ГОЛДИН ИНА,Дудочник,рассказ,2008,0:29:08,Тёмные аллеи №05,47402761,Ссылка на работу в вКонтакте
НИКОЛАЕВ СЕРГЕЙ,Дух леса,рассказ,2014,0:33:04,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
БОЛДЫРЕВА НАТАЛЬЯ,Дуэль,рассказ,2010,0:30:11,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
ЦУРКАН ВАЛЕРИЙ,Дым отечества,рассказ,2010,0:31:54,Южная пристань,47391962,Ссылка на работу в вКонтакте
ХАЕЦКАЯ ЕЛЕНА,Дым родного очага,рассказ,2009,0:27:14,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
ОДУВАЛОВА АННА,Дыша духами и туманами,рассказ,2011,0:29:26,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
КРЫМОВ ОЛЕГ,Дьюбери,рассказ,2009,0:03:22,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
МУРАКАМИ ХАРУКИ,Её пёсик в земле,рассказ,2018,1:01:31,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
БАРКЕР КЛАЙВ,Её последняя воля,рассказ,2015,1:36:11,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
БЛОХ РОБЕРТ,Енох,рассказ,2015,0:36:06,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
ПЫСЛАРЬ АЛЁНА,Желание,рассказ,2009,0:20:38,Тёмные аллеи №09,47402841,Ссылка на работу в вКонтакте
МАВЕРИК ДЖОН,Жёлтые бабочки,рассказ,2010,0:31:10,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
ЧАМБЕРС РОБЕРТ,Жёлтый знак,рассказ,2018,0:51:41,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
СИНДЗИ КАДЗИО,Жемчужинка для Миа,рассказ,2015,0:43:03,Сад опавших листьев,49982920,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Женщина в палате,рассказ,2014,0:36:40,Ночная смена,47401704,Ссылка на работу в вКонтакте
РЕМИЗОВ АЛЕКСЕЙ,Жертва,рассказ,2018,0:39:27,Пять вечеров 4: Одержимость,50095809,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Живущие под усыпальницами,рассказ,2014,0:38:29,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Живший когда-то,рассказ,2019,0:26:41,,53016370,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Жизнь после смерти,рассказ,2015,0:34:24,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
СИТНИКОВ ИВАН,Жизнь продолжается,рассказ,2008,0:43:37,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
ЦУРКАН ВАЛЕРИЙ,Жнец,рассказ,2010,0:31:03,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
КЛЮЧНИКОВ ВЛАДИМИР,За раками,рассказ,2017,0:05:40,Владимир Ключников - Рассказы,49685149,Ссылка на работу в вКонтакте
ВОННЕГУТ КУРТ,За стеной,рассказ,2019,0:19:27,ГЛУБИНА КУРТ ВОННЕГУТ - Танасфера,54730832,Ссылка на работу в вКонтакте
ЕВДОКИМОВА ГАЛИНА,За тьму в ваших глазах,рассказ,2017,0:31:45,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,За углом 9 класса,рассказ,2017,0:09:01,Павел К. Диброва - Рассказы,49714485,Ссылка на работу в вКонтакте
МИЛЯ АНДРЕЙ,Забытые - не значит исчезнувшие,рассказ,2016,0:35:40,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Загадка Сфинкса,рассказ,2015,0:05:42,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
ДОЙЛ АРТУР КОНАН,Задира из Броукас-Корта,рассказ,2016,0:31:21,Конан Дойль - Рассказы,49215543,Ссылка на работу в вКонтакте
МОРДАС ДМИТРИЙ,Зайчик,рассказ,2015,0:54:27,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Заклятие параноика,рассказ,2015,0:08:17,Команда скелетов,49866622,Ссылка на работу в вКонтакте
КОУНИ МАЙКЛ,Закованный разум,рассказ,2016,1:01:27,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Замкнутый круг,рассказ,2019,0:52:07,,53016370,Ссылка на работу в вКонтакте
ЛАУМЕР КИТ,Замороженная планета,рассказ,2009,1:18:47,Лаумер Кит - Рассказы,47403535,Ссылка на работу в вКонтакте
БЛОХ РОБЕРТ,"Записки, найденные в пустом доме",рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
КРАВЧЕНКО ЛЕОНИД,Заплатка,повесть,2016,7:43:53,,47397881,Ссылка на работу в вКонтакте
КЛЮЧНИКОВ ВЛАДИМИР,Зарисовка о бесконечном человеке,рассказ,2017,0:04:56,Владимир Ключников - Рассказы,49685149,Ссылка на работу в вКонтакте
РЗАЕВ БАЯЗИД,Захлопни дверь и пережди,рассказ,2017,0:03:42,,47403584,Ссылка на работу в вКонтакте
ВАН ВОГТ АЛЬФРЕД,Зачарованная деревня,рассказ,2010,0:27:36,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
ДЬЯЧЕНКО НИНА,Зачем ты сделал это со мной?,рассказ,2008,0:18:30,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
ЧЕРКАШИНА ИРИНА,Звезда творения,фрагмент,2013,0:09:12,Проект Миры фрагменты к книгам,47391984,Ссылка на работу в вКонтакте
СЛЮСАРЬ ВИТАЛИЙ,Звёздочка,рассказ,2011,0:20:11,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
ЛАНСДЕЙЛ ДЖО Р.,Звёзды падают,рассказ,2017,1:11:49,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Зверь в подземелье,рассказ,2017,0:17:15,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ИВОЛГА НАДЕЖДА,Звонок в дверь,рассказ,2008,0:21:00,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
МАТЕСОН РИЧАРД,Звонок издалека,рассказ,2018,0:35:05,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
БАТЛЕР ОКТАВИЯ,Звуки речи,рассказ,2016,0:40:04,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ЯСИНСКАЯ МАРИНА,Звукорежиссёр,рассказ,2012,0:15:00,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Здесь тоже водятся тигры,рассказ,2013,0:11:46,Команда скелетов,49866622,Ссылка на работу в вКонтакте
ГОССЕН ПАУЛЬ,Зеленый Охотник,рассказ,2011,0:25:51,Тёмные аллеи №19,47403053,Ссылка на работу в вКонтакте
КОННОЛЛИ ДЖОН,"Зелень тёмная, густая",рассказ,2018,0:21:36,Ночные легенды,54438257,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Земляничная весна,рассказ,2014,0:25:35,Ночная смена,47401704,Ссылка на работу в вКонтакте
ATLAS,Зеркало самоубийцы,рассказ,2015,0:12:58,ATLAS - Рассказы,50296392,Ссылка на работу в вКонтакте
РЫБАКОВ ВЯЧЕСЛАВ,Зима,рассказ,2016,0:28:02,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ГИБСОН УИЛЬЯМ,Зимний рынок,рассказ,2012,0:26:57,Зимняя сказка,47391905,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Зловещее прикосновение смерти,рассказ,2014,0:14:16,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
ФЕХЕРВАРИ ПИТЕР,Змеев заповедник,рассказ,2019,1:07:16,WARHAMMER 40000,54712986,Ссылка на работу в вКонтакте
ВАН ВОГТ АЛЬФРЕД,Змея и крыса,рассказ,2008,0:13:32,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,Знахари: детские законы,рассказ,2019,3:13:57,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Зов Ктулху ,рассказ,2016,1:59:25,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
БРЭДБЕРИ РЭЙ,Золотоглазые,рассказ,2015,0:29:41,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
ФЕДОТОВ АЛЕКСЕЙ,Зона Интернет,рассказ,2008,0:15:07,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
ATLAS,И все таки люди,рассказ,2015,0:29:38,ATLAS - Рассказы,50296392,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,И лев танцует,рассказ,2015,0:12:26,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,И пришёл Бука,рассказ,2014,0:33:01,Ночная смена,47401704,Ссылка на работу в вКонтакте
"МЬЕВИЛЬ ЧАЙНА, ЭММА БИРЧЕМ, МАКС ШАФЕР",Игровая комната,рассказ,2014,0:39:41,Тёмные аллеи Новое и неизданное,49672840,Ссылка на работу в вКонтакте
ГИЛФОРД ЧАРЛЬЗ,Игрок,рассказ,2017,0:21:33,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
БЛОХ РОБЕРТ,Игрушка для Джульетты,рассказ,2017,0:18:35,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Иерусалемов удел,рассказ,2013,1:38:28,Ночная смена,47401704,Ссылка на работу в вКонтакте
ДИК ФИЛИП,Из глубин памяти (Мы вам всё припомним),рассказ,2011,0:51:41,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
АРЦЫБАШЕВ МИХАИЛ,Из дневника одного покойника,рассказ,2018,0:38:31,ГЛУБИНА погружение 06,50095806,Ссылка на работу в вКонтакте
КОРКИН СЕРГЕЙ,Извне,рассказ,2008,0:21:01,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Изгнанник,рассказ,2017,0:19:11,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ПРАТЧЕТТ ТЕРРИ,Изумительный Морис и его учёные грызуны,роман,2019,8:51:44,,47397335,Ссылка на работу в вКонтакте
СИЛАНТЬЕВА ЛЮБОВЬ,Икона,стихи,2013,0:08:14,,47391977,Ссылка на работу в вКонтакте
КОВАЛЬ НИКИТА,Индигман,рассказ,2017,0:55:54,Никита Коваль - Рассказы,47401436,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Иногда они возвращаются,рассказ,2009,1:10:10,Ночная смена,47401704,Ссылка на работу в вКонтакте
МАЙ АЛЕКС,Интернет. Мертвые,рассказ,2008,0:15:00,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Иранон,рассказ,2016,0:23:02,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ИВОЛГА НАДЕЖДА,Искорка,рассказ,2009,0:03:15,Новогодние чудеса на аллеях,47392014,Ссылка на работу в вКонтакте
ЛЕНГАР ВАЛЕРИЙ,Искупление,рассказ,2008,0:11:10,Тёмные аллеи №06,47402771,Ссылка на работу в вКонтакте
ЧЕКАЛОВ ДЕНИС,Искусство войны,рассказ,2008,0:13:50,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
ХАЛЬ ЕВГЕНИЯ И ИЛЬЯ,Исповедник,рассказ,2011,0:21:51,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
ХАЙНЛАЙН РОБЕРТ,Испытание космосом,рассказ,2019,0:40:17,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
ФОС ЭЛИАС,История одного кукольника,роман,2017,,в озвучке,,Ссылка на работу в вКонтакте
ФЕДОТОВ АЛЕКСЕЙ,К вопросу о хороших инопланетянах,рассказ,2009,0:17:20,Тёмные аллеи №06,47402771,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Кадиллак Долана,рассказ,2009,2:21:39,Тёмные аллеи №08,47402825,Ссылка на работу в вКонтакте
ЛЕНСКАЯ МАРГАРИТА,Как начиналась сказка ,рассказ,2009,0:17:04,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Календарь праздников,рассказ,2015,0:06:08,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
МАСТЕРТОН ГРЭМ,Камелот,рассказ,2019,1:01:51,ГЛУБИНА погружение 13,54703259,Ссылка на работу в вКонтакте
БУЛАТНИКОВА ДАРЬЯ,Карамельное платье,рассказ,2009,0:05:41,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Карниз,рассказ,2014,0:48:56,Ночная смена,47401704,Ссылка на работу в вКонтакте
КВАШНИН ДМИТРИЙ,Катарсис,рассказ,2018,0:26:23,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ВАГНЕР КАРЛ ЭДВАРД,Кедровая улица,рассказ,2016,0:23:15,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,Кенотафия или Необычное путешествие по России,рассказ,2017,1:52:13,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
ШАМАНОВ СЕРГЕЙ,Кладбище,рассказ,2008,0:47:21,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Кладбище домашних животных,роман,2015,12:38:53,,49917677,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Кладбищенские крысы,рассказ,2015,1:03:48,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
ФЕДОТОВ АЛЕКСЕЙ,Кладоискатель,рассказ,2009,0:16:07,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
КЛЮЧНИКОВ ВЛАДИМИР,Клементьево,рассказ,2017,0:04:39,Владимир Ключников - Рассказы,49685149,Ссылка на работу в вКонтакте
КОННОЛЛИ ДЖОН,Клоунами не становятся,рассказ,2018,0:26:03,Ночные легенды,54438257,Ссылка на работу в вКонтакте
ЖЕЛЯЗНЫ РОДЖЕР,Ключи к декабрю,рассказ,2017,1:07:02,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Книга,рассказ,2017,0:09:49,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ШОЛОХОВ АЛЕКСЕЙ,"Книга, ножницы, черный бант…",разное,2017,0:30:42,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
БЕЙКЕР КЕЙДЖ,Книги,рассказ,2016,0:35:06,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Кобра из сна,рассказ,2014,0:16:15,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
СИИНА МАКОТО,Когда дождь кончится,рассказ,2013,0:38:48,Причуды жизни,47392029,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Когда Мишастик был маленьким,повесть,2008,0:30:00,Истории про Мишастика,47392020,Ссылка на работу в вКонтакте
УИНДЕМ ДЖОН,Колесо,рассказ,2017,0:19:31,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
САЙМАК КЛИФФОРД,Коллекционер,рассказ,2017,1:44:53,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
ДИК ФИЛИП,Колония,рассказ,2015,0:40:50,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
ПОДОЛЬСКИЙ АЛЕКСАНДР,Колумбарий,рассказ,2011,0:26:09,Тёмные аллеи №18,47403039,Ссылка на работу в вКонтакте
БУЛАТНИКОВА ДАРЬЯ,Колыбельная,рассказ,2010,0:16:28,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
САФРОНОВ ЕВГЕНИЙ,Коммунальный юродивый,рассказ,2017,0:34:51,Евгений Сафронов - Рассказы,50296060,Ссылка на работу в вКонтакте
АРТУР РОБЕРТ,Комната-могила,рассказ,2017,0:36:11,Тёмные аллеи 2.4 Удиви меня!,50155796,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Конец всей этой мерзости,рассказ,2016,1:13:15,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ЛИПОВСКИЙ ДЕНИС,Контрацептив,рассказ,2017,1:16:33,,47580818,Ссылка на работу в вКонтакте
МЭТИСОН РИЧАРД,Корабль смерти,рассказ,2010,1:02:43,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
ПЕРОВ ЕВГЕНИЙ,Королева воров,рассказ,2016,0:29:14,Евгений Перов - Рассказы,49218847,Ссылка на работу в вКонтакте
ЛАУМЕР КИТ,Король города,рассказ,2009,1:12:48,Лаумер Кит - Рассказы,47403535,Ссылка на работу в вКонтакте
НАБОКОВА ЮЛИЯ,Короткая весна Рене,рассказ,2008,0:37:53,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Короткая дорожка миссис Тодд,рассказ,2009,1:20:05,Команда скелетов,49866622,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,"Корпорация ""Бросайте курить""",рассказ,2014,0:49:35,Ночная смена,47401704,Ссылка на работу в вКонтакте
БРЭДБЕРИ РЭЙ,Коса,рассказ,2019,0:41:15,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
БОЛДЫРЕВА НАТАЛЬЯ,Кости,рассказ,2009,0:14:15,Тёмные аллеи №07,47402805,Ссылка на работу в вКонтакте
СЫРЦОВА АННА,Кот и бабочка,рассказ,2009,0:06:23,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
МАРТИН ЛИ,Кот на ужасном диване,рассказ,2018,0:55:32,ГЛУБИНА погружение 03,47397859,Ссылка на работу в вКонтакте
ЩЕРБА НАТАЛЬЯ,"Котам, с ключом в зубах, не доверяйте",рассказ,2010,0:26:59,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
КЭМПБЕЛЛ РЭМСИ,Кошка и мышка,рассказ,2015,0:37:31,Тёмные аллеи 2.0 Тёмные звёзды,49780142,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Кошки Ультхара,рассказ,2008,0:10:14,Тёмные аллеи №01,47402705,Ссылка на работу в вКонтакте
БРЭДБЕРИ РЭЙ,Кошкина пижама,рассказ,2017,0:13:14,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
ШАМАНОВ СЕРГЕЙ,Красное платье,рассказ,2012,0:34:13,Тёмные аллеи №21,47403076,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Крауч-Энд,рассказ,2018,1:26:35,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Крепко!,рассказ,2015,0:07:18,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
ГЖЕНДОВИЧ ЯРОСЛАВ,Крепость Трёх Колодцев,рассказ,2017,0:43:36,Пять вечеров 3: Магия,47401805,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Кричащий череп тишины,рассказ,2018,0:25:39,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Кричащий череп тишины,рассказ,2018,0:25:39,,49214345,Ссылка на работу в вКонтакте
АБНЕТТ ДЭН,Кровавые игры,рассказ,2019,1:37:12,WARHAMMER 40000,54712986,Ссылка на работу в вКонтакте
УДОВИЧЕНКО ДИАНА,Кровавые иллюзии,роман,2013,7:01:10,,47391885,Ссылка на работу в вКонтакте
ЯНСИ РИК,Кровавый остров (Ученик монстролога 3),роман,2019,14:30:16,,54601279,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Крылья в ночи,рассказ,2014,1:43:54,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
ДЖЕЙМС М. Р.,Крысы,рассказ,2018,0:19:20,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Крысы в стенах,рассказ,2016,1:13:08,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
КЭМПБЕЛЛ ДЖОН,Кто идёт? (Нечто),рассказ,2011,1:02:50,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
ФЕРР ЛЮЦИАН,Кто ходит в гости по ночам?,рассказ,2009,0:11:28,Тёмные аллеи №09,47402841,Ссылка на работу в вКонтакте
НЕВИЛЛ АДАМ,Куда приходят ангелы,рассказ,2016,0:56:46,Пять вечеров 2: Призраки,51939372,Ссылка на работу в вКонтакте
ЦУРКАН ВАЛЕРИЙ,Кузнец,рассказ,2010,0:27:19,Южная пристань,47391962,Ссылка на работу в вКонтакте
БАУНДС СИДНЕЙ ДЖ,Кукловоды,рассказ,2010,0:33:24,Тёмные аллеи №14,47402953,Ссылка на работу в вКонтакте
